algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,iter,groupID
ranClusterOnce,7,200,67917860@N00,7,594.4665269777165,3.8003380009657173,2.604166666666668,True,3.2022523338161926,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,69708810@N00,7,594.4665269777165,3.8003380009657173,2.0,True,2.9001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,95674706@N00,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,13511601@N00,7,594.4665269777165,3.8003380009657173,2.0,True,2.9001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,87106106@N00,7,594.4665269777165,3.8003380009657173,2.0,True,2.9001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,28066281@N03,7,594.4665269777165,3.8003380009657173,5.0,True,4.400169000482858,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,15580384@N05,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,37649829@N03,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,51050970@N07,7,594.4665269777165,3.8003380009657173,5.0,True,4.400169000482858,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,65320201@N03,7,594.4665269777165,3.8003380009657173,1.0629650829994275,True,2.431651541982572,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,41101678@N00,7,594.4665269777165,3.8003380009657173,0.0,True,1.9001690004828586,0.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,15743963@N08,7,593.5766096658726,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,57449260@N00,7,593.5766096658726,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,67961268@N00,7,593.5766096658726,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,37996606796@N01,7,593.5766096658726,4.4299855142443265,1.3386581469648564,True,2.8843218306045912,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,98153629@N00,7,593.5766096658726,4.4299855142443265,0.6661544371878607,True,2.5480699757160936,0.6292739147137922,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,37574483@N07,7,593.5766096658726,4.4299855142443265,1.0440989039000765,True,2.7370422090722015,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,12316147@N05,7,593.5766096658726,4.4299855142443265,4.775750324060225,True,4.602867919152276,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,44124367252@N01,7,593.5766096658726,4.4299855142443265,2.3254972875226043,True,3.3777414008834654,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,29146273@N03,7,593.5766096658726,4.4299855142443265,7.0,True,5.714992757122163,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,76551426@N00,7,593.5766096658726,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,26372307@N03,7,593.5766096658726,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,20605823@N00,7,593.5766096658726,4.4299855142443265,4.363117496555795,True,4.39655150540006,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,9416709@N08,7,593.5766096658726,4.4299855142443265,3.3381294964028747,True,3.8840575053236006,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,81354599@N00,7,593.5766096658726,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,19761391@N06,7,593.5766096658726,4.4299855142443265,2.4731381285805223,True,3.451561821412424,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,17856604@N00,7,593.5766096658726,4.4299855142443265,2.9073482428114996,True,3.668666878527913,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,33906853@N00,7,593.5766096658726,4.4299855142443265,4.112492419648271,True,4.271238966946299,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,56619626@N05,7,593.5766096658726,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,38030421@N08,7,593.5766096658726,4.4299855142443265,0.0,True,2.2149927571221633,0.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,42183741@N05,7,593.5766096658726,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,46769540@N00,7,593.5766096658726,4.4299855142443265,2.8507936507936504,True,3.6403895825189885,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,32665807@N06,7,593.5766096658726,4.4299855142443265,4.009230618156822,True,4.219608066200575,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,71423916@N00,7,593.5766096658726,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,20275330@N00,7,593.5766096658726,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,86993416@N00,7,593.5766096658726,4.4299855142443265,4.385779970842212,True,4.407882742543269,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,10012675@N05,7,593.5766096658726,4.4299855142443265,4.0,True,4.214992757122163,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,44129804@N03,7,593.5766096658726,4.4299855142443265,2.0,True,3.2149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,34427466731@N01,7,593.5766096658726,4.4299855142443265,3.5059164992185745,True,3.9679510067314503,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,23739231@N00,7,593.5766096658726,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,73293249@N00,7,593.5766096658726,4.4299855142443265,1.0,True,2.7149927571221633,1.0,0.0,7-21-28-22-7-23-16-7-11-27-7,1,4.0
ranClusterOnce,7,200,22996605@N05,7,594.1975961141576,4.215596330275229,5.012803970223326,True,4.614200150249277,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,41555937@N00,7,594.1975961141576,4.215596330275229,5.0,True,4.6077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,55372451@N00,7,594.1975961141576,4.215596330275229,5.0,True,4.6077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,22292214@N00,7,594.1975961141576,4.215596330275229,1.489361702127661,True,2.8524790162014453,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,42875348@N00,7,594.1975961141576,4.215596330275229,1.2106788799350687,True,2.713137605105149,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,12072678@N00,7,594.1975961141576,4.215596330275229,2.0978371501272264,True,3.1567167402012277,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,37256969@N08,7,594.1975961141576,4.215596330275229,0.8044692737430166,True,2.510032802009123,0.8044692737430166,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,10031363@N00,7,594.1975961141576,4.215596330275229,5.0,True,4.6077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,24741597@N00,7,594.1975961141576,4.215596330275229,5.0,True,4.6077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,43334562@N00,7,594.1975961141576,4.215596330275229,2.361644759015841,True,3.2886205446455348,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,68379435@N00,7,594.1975961141576,4.215596330275229,5.0,True,4.6077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,44576730@N06,7,594.1975961141576,4.215596330275229,1.46875,True,2.8421731651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,9492113@N02,7,594.1975961141576,4.215596330275229,1.0586490444185785,True,2.6371226873469036,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,29052829@N00,7,594.1975961141576,4.215596330275229,5.002759889604416,True,4.609178109939823,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,10602166@N06,7,594.1975961141576,4.215596330275229,5.0,True,4.6077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
ranClusterOnce,7,200,48986833@N00,7,594.1975961141576,4.215596330275229,2.0,True,3.1077981651376145,1.0,0.0,7-21-28-22-7-11-27-7-16-6-7,1,5.0
